,Review,Rating
59,"[[('Mt', 'NOUN'), ('bom', 'ADJ'), ('ótimas', 'NOUN'), ('aulas', 'NOUN')]]",5
60,"[[('é', 'VERB'), ('bonito', 'ADJ'), ('funcional', 'NOUN'), ('proporciona', 'NOUN'), ('UX', 'NOUN'), ('boa', 'ADJ')], [('dou', 'NOUN'), ('sugestão', 'NOUN'), ('selecionar', 'VERB'), ('qualidade', 'NOUN'), ('quer', 'VERB'), ('baixar', 'VERB'), ('aulas', 'NOUN')]]",5
61,"[[('Ótimo', 'ADJ'), ('possibilidade', 'NOUN'), ('acelerar', 'VERB'), ('vídeo', 'NOUN'), ('ajudaria', 'NOUN'), ('revee', 'NOUN'), ('vídeo', 'NOUN'), ('aula', 'NOUN')]]",4
62,"[[('redesign', 'NOUN'), ('garantiu', 'VERB'), ('APP', 'NOUN'), ('ficasse', 'VERB'), ('menor', 'ADJ'), ('prático', 'ADJ'), ('precisa', 'VERB'), ('otimizações', 'NOUN'), ('vezes', 'NOUN'), ('trava', 'VERB'), ('conteúdo', 'NOUN'), ('cronograma', 'NOUN')], [('Senti', 'VERB'), ('falta', 'NOUN'), ('tbm', 'NOUN'), ('cores', 'NOUN'), ('identificar', 'VERB'), ('matéria', 'NOUN')], [('Insisto', 'NOUN'), ('tbm', 'NOUN'), ('ter', 'VERB'), ('opção', 'NOUN'), ('guardar', 'VERB'), ('cache', 'NOUN'), ('vídeos', 'NOUN'), ('baixados', 'VERB'), ('microSD', 'NOUN'), ('telefone', 'NOUN'), ('Netflix', 'NOUN'), ('deezer', 'VERB')], [('Amo', 'VERB'), ('vcs', 'NOUN')], [('lt', 'NOUN')]]",4
63,"[[('novo', 'ADJ'), ('design', 'NOUN'), ('verde', 'ADJ'), ('gostei', 'VERB'), ('desse', 'VERB'), ('modelo', 'NOUN'), ('novo', 'ADJ'), ('podiam', 'VERB'), ('manter', 'VERB'), ('cores', 'NOUN'), ('antigas', 'ADJ'), ('matéria', 'NOUN'), ('gostava', 'VERB'), ('desenhos', 'NOUN'), ('rs', 'NOUN'), ('player', 'NOUN'), ('velocidade', 'NOUN'), ('1.25', 'NOUN'), ('útil', 'ADJ')]]",4
64,"[[('Há', 'VERB'), ('problemas', 'NOUN'), ('Reforço', 'NOUN'), ('Engenharia', 'NOUN'), ('aulas', 'NOUN'), ('acesso', 'NOUN')], [('aparece', 'VERB'), ('tela', 'NOUN'), ('conteúdo', 'NOUN')]]",4
65,"[[('plataforma', 'NOUN'), ('é', 'VERB'), ('maravilhosa', 'ADJ')], []]",5
66,"[[('Primeira', 'ADJ'), ('vez', 'NOUN')]]",5
67,"[[('bom', 'ADJ'), ('gostei', 'VERB')]]",5
68,"[[('Olá', 'NOUN')], [('Gostaria', 'VERB'), ('ajuda', 'NOUN')], [('consigo', 'VERB'), ('acessar', 'VERB'), ('conta', 'VERB'), ('aplicativo', 'ADJ')]]",2
69,"[[('Perfeito', 'NOUN')]]",5
